1.00000  0.00060
0.99000  0.00297
0.98000  0.00533
0.97000  0.00769
0.96000  0.01002
0.94000  0.01462
0.92000  0.01912
0.90000  0.02350
0.88000  0.02779
0.86000  0.03197
0.84000  0.03605
0.82000  0.04002
0.80000  0.04388
0.78000  0.04763
0.76000  0.05126
0.74000  0.05477
0.72000  0.05816
0.70000  0.06143
0.68000  0.06458
0.66000  0.06760
0.64000  0.07048
0.62000  0.07321
0.60000  0.07576
0.58000  0.07815
0.56000  0.08035
0.54000  0.08237
0.52000  0.08421
0.50000  0.08588
0.48000  0.08736
0.46000  0.08864
0.44000  0.08972
0.42000  0.09057
0.40000  0.09117
0.38000  0.09152
0.36000  0.09163
0.34000  0.09151
0.32000  0.09119
0.30000  0.09068
0.28000  0.09000
0.26000  0.08908
0.24000  0.08783
0.22000  0.08614
0.20000  0.08392
0.18000  0.08107
0.16000  0.07757
0.14000  0.07344
0.12000  0.06862
0.10000  0.06300
0.08000  0.05643
0.06000  0.04876
0.05000  0.04428
0.04000  0.03913
0.03000  0.03302
0.02000  0.02537
0.01200  0.01786
0.00800  0.01374
0.00400  0.00892
0.00200  0.00580
0.00100  0.00373
0.00050  0.00234
0.00000  0.00000
0.00050 -0.00467
0.00100 -0.00594
0.00200 -0.00781
0.00400 -0.01051
0.00800 -0.01429
0.01200 -0.01697
0.02000 -0.02027
0.03000 -0.02261
0.04000 -0.02452
0.05000 -0.02605
0.06000 -0.02713
0.08000 -0.02846
0.10000 -0.02938
0.12000 -0.02996
0.14000 -0.03024
0.16000 -0.03025
0.18000 -0.03005
0.20000 -0.02967
0.22000 -0.02914
0.24000 -0.02852
0.26000 -0.02782
0.28000 -0.02707
0.30000 -0.02631
0.32000 -0.02556
0.34000 -0.02482
0.36000 -0.02409
0.38000 -0.02336
0.40000 -0.02263
0.42000 -0.02190
0.44000 -0.02117
0.46000 -0.02044
0.48000 -0.01970
0.50000 -0.01896
0.52000 -0.01823
0.54000 -0.01749
0.56000 -0.01676
0.58000 -0.01602
0.60000 -0.01529
0.62000 -0.01456
0.64000 -0.01382
0.66000 -0.01309
0.68000 -0.01235
0.70000 -0.01162
0.72000 -0.01088
0.74000 -0.01015
0.76000 -0.00941
0.78000 -0.00868
0.80000 -0.00794
0.82000 -0.00721
0.84000 -0.00648
0.86000 -0.00574
0.88000 -0.00501
0.90000 -0.00427
0.92000 -0.00354
0.94000 -0.00280
0.96000 -0.00207
0.97000 -0.00170
0.98000 -0.00133
0.99000 -0.00097
1.00000 -0.00060
